Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
047560,KR7047560008,이스트소프트,KOSDAQ,벤처기업부,15980,2,-1070,-6.28,17170,17540,15980,469897,7749972210,182486032960,11384032,KSQ
016450,KR7016450009,한세예스24홀딩스,KOSPI,,4510,2,-140,-3.01,4640,4640,4500,27310,125127965,182400000000,40000000,STK
417860,KR7417860004,오브젠,KOSDAQ,기술성장기업부,47000,1,900,1.95,46150,48200,46000,93476,4410455500,182349425000,3879775,KSQ
036010,KR7036010007,아비코전자,KOSDAQ,우량기업부,13550,2,-450,-3.21,13980,14150,13470,236861,3259806200,181847337120,13292934,KSQ
024810,KR7024810004,이화전기,KOSDAQ,관리종목(소속부없음),899,0,0,0.0,0,0,0,0,0,181597539712,201999488,KSQ
417310,KR7417310000,코람코더원리츠,KOSPI,,4500,2,-25,-0.55,4525,4525,4460,38154,170805845,181396000000,40400000,STK
261200,KR7261200000,덴티스,KOSDAQ,벤처기업부,12150,2,-1570,-11.44,13070,13260,12150,888090,11285650000,181153190400,14824320,KSQ
363250,KR7363250002,진시스템,KOSDAQ,기술성장기업부,26150,2,-750,-2.79,26900,26900,24750,164234,4207312700,180996140000,6961390,KSQ
148150,KR7148150006,세경하이테크,KOSDAQ,우량기업부,15310,2,-380,-2.42,15530,15900,15300,53510,831931390,180770870540,11784281,KSQ
001230,KR7001230002,동국홀딩스,KOSPI,,11300,2,-620,-5.2,11700,11840,11210,175905,2008850970,180760826400,15926064,STK
340930,KR7340930007,유일에너테크,KOSDAQ,벤처기업부,15710,2,-750,-4.56,16230,16290,15450,125593,1986790830,180623362500,11468150,KSQ
032300,KR7032300006,한국파마,KOSDAQ,우량기업부,16490,2,-590,-3.45,16730,17130,16200,17293,287449830,180614968560,10906701,KSQ
164060,KR7164060006,이루다,KOSDAQ,벤처기업부,8830,2,-390,-4.23,9250,9250,8680,785172,6948941110,180569764910,20449577,KSQ
156100,KR7156100000,엘앤케이바이오,KOSDAQ,벤처기업부,9140,1,970,11.87,8420,9440,8030,1670555,14838082400,180562710540,19929659,KSQ
007860,KR7007860000,서연,KOSPI,,7650,2,-410,-5.09,7960,8050,7630,176224,1367613020,180560000360,23479844,STK
214390,KR7214390007,경보제약,KOSPI,,7550,2,-100,-1.31,7460,7630,7350,121206,906136180,180496793000,23906860,STK
215360,KR7215360009,우리산업,KOSDAQ,중견기업부,19760,1,190,0.97,19420,20150,18030,101802,1979019860,180360219250,9132163,KSQ
055490,KR7055490007,테이팩스,KOSPI,,38000,1,450,1.2,37550,38750,37500,55867,2125982900,180314935000,4757650,STK
097955,KR7097951008,CJ제일제당 우,KOSPI,,135800,2,-2700,-1.95,138500,138500,135100,1362,185143900,180265401400,1327433,STK
007210,KR7007210008,벽산,KOSPI,,2645,1,55,2.12,2680,2730,2605,948621,2518121490,179970000000,68560000,STK
251630,KR7251630000,브이원텍,KOSDAQ,벤처기업부,11830,2,-880,-6.92,12710,12710,11500,203103,2423175520,179221695600,15162580,KSQ
123690,KR7123690000,한국화장품,KOSPI,,11110,1,230,2.11,11600,11720,10250,3703527,41066995730,178515480000,16068000,STK
068290,KR7068290006,삼성출판사,KOSPI,,17830,2,-640,-3.47,18250,18330,17830,26764,479803960,178500000000,10000000,STK
035150,KR7035150002,백산,KOSPI,,7760,2,-150,-1.9,7940,7940,7700,91408,710654100,178097400000,23010000,STK
003580,KR7003580008,HLB글로벌,KOSPI,,4190,2,-60,-1.41,4200,4285,4060,97286,406061350,177544793210,42373459,STK
445680,KR7445680002,큐리옥스바이오시스템즈,KOSDAQ,기술성장기업부,21550,2,-500,-2.27,23050,24900,21500,3935302,92128444800,177442941200,8010968,KSQ
005945,KR7005941000,NH투자증권우,KOSPI,,9410,2,-70,-0.74,9490,9490,9380,34926,328591830,177387099200,18870968,STK
023760,KR7023760002,한국캐피탈,KOSDAQ,우량기업부,560,2,-29,-4.92,586,586,544,1610941,901491254,177372581712,315609576,KSQ
010470,KR7010470003,오리콤,KOSDAQ,우량기업부,14790,1,1080,7.88,13370,15470,13370,597302,8829834790,177350490500,11975050,KSQ
