Date,Open,High,Low,Close,Volume
2023-01-31,504000,528000,501000,521000,722845
2023-02-01,527000,531000,518000,522000,428384
2023-02-02,529000,534000,522000,533000,367389
2023-02-03,533000,541000,530000,535000,311193
2023-02-06,530000,533000,521000,525000,280165
2023-02-07,520000,544000,520000,542000,363799
2023-02-08,545000,549000,542000,546000,301262
2023-02-09,544000,550000,540000,550000,355020
2023-02-10,547000,548000,535000,542000,260831
2023-02-13,536000,537000,522000,522000,415228
2023-02-14,526000,532000,520000,525000,299950
2023-02-15,531000,543000,526000,527000,313034
2023-02-16,534000,549000,531000,549000,390488
2023-02-17,540000,548000,529000,533000,334707
2023-02-20,534000,534000,511000,516000,380832
2023-02-21,517000,522000,511000,520000,211255
2023-02-22,507000,516000,504000,508000,315931
2023-02-23,511000,515000,504000,507000,218469
2023-02-24,508000,522000,507000,511000,239646
2023-02-27,507000,512000,499000,508000,256666
2023-02-28,516000,532000,515000,523000,419180
2023-03-02,520000,542000,516000,535000,506812
2023-03-03,539000,542000,533000,538000,288004
2023-03-06,545000,547000,533000,547000,418951
2023-03-07,548000,570000,543000,566000,834010
2023-03-08,559000,569000,551000,562000,374233
2023-03-09,564000,569000,545000,549000,411910
2023-03-10,537000,553000,534000,551000,270554
2023-03-13,554000,565000,549000,563000,365145
2023-03-14,560000,561000,545000,548000,306944
2023-03-15,551000,573000,549000,565000,455274
2023-03-16,561000,578000,558000,576000,499942
2023-03-17,579000,579000,550000,553000,461982
2023-03-20,546000,551000,537000,544000,229510
2023-03-21,549000,559000,545000,546000,186781
2023-03-22,557000,577000,555000,573000,534061
2023-03-23,568000,580000,566000,575000,457612
2023-03-24,577000,578000,556000,569000,317648
2023-03-27,588000,594000,572000,574000,553025
2023-03-28,578000,579000,566000,577000,264318
2023-03-29,578000,585000,577000,583000,368772
2023-03-30,587000,590000,576000,588000,334990
2023-03-31,582000,590000,571000,584000,298469
2023-04-03,588000,590000,577000,586000,330892
2023-04-04,586000,598000,572000,575000,444861
2023-04-05,575000,589000,574000,588000,235578
2023-04-06,587000,590000,578000,580000,278416
2023-04-07,581000,590000,579000,580000,366225
2023-04-10,587000,598000,584000,596000,597900
2023-04-11,600000,613000,596000,610000,811886
2023-04-12,608000,610000,588000,590000,541299
2023-04-13,581000,599000,575000,599000,386450
2023-04-14,603000,604000,586000,594000,339843
2023-04-17,588000,593000,584000,591000,276643
2023-04-18,593000,598000,586000,592000,247157
2023-04-19,593000,593000,581000,582000,300756
2023-04-20,582000,586000,575000,580000,247483
2023-04-21,577000,578000,563000,572000,267430
2023-04-24,566000,575000,563000,566000,189996
2023-04-25,570000,575000,548000,551000,328253
2023-04-26,551000,572000,550000,567000,296105
2023-04-27,573000,588000,567000,587000,463287
2023-04-28,590000,591000,573000,581000,316880
2023-05-02,580000,592000,579000,591000,273527
2023-05-03,587000,587000,566000,567000,243943
2023-05-04,563000,571000,560000,564000,244181
2023-05-08,565000,572000,558000,558000,202092
2023-05-09,558000,567000,550000,563000,169554
2023-05-10,561000,570000,559000,566000,144538
2023-05-11,568000,572000,550000,553000,290645
2023-05-12,547000,549000,542000,547000,184132
